시도,시군구,행정번호,년도,평균연령,스트레스인지율
전라북도,전북장수군,4574000000,2019,51.9,18.6
전라북도,전북임실군,4575000000,2019,52.7,24.3
전라북도,전북순창군,4577000000,2019,51.6,17.3
전라북도,전북고창군,4579000000,2019,52.1,29
전라북도,전북부안군,4580000000,2019,51.7,25.4
전라남도,전남목포시,4611000000,2019,42,25.5
전라남도,전남여수시,4613000000,2019,44,26.7
전라남도,전남순천시,4615000000,2019,42,22.6
전라남도,전남나주시,4617000000,2019,45.3,27.7
전라남도,전남광양시,4623000000,2019,40.8,23.3
전라남도,전남담양군,4671000000,2019,50.8,21.9
전라남도,전남곡성군,4672000000,2019,53.4,27.3
전라남도,전남구례군,4673000000,2019,52.3,19.3
전라남도,전남고흥군,4677000000,2019,55.6,20.8
전라남도,전남보성군,4678000000,2019,54.3,18.6
전라남도,전남화순군,4679000000,2019,48.3,27.7
전라남도,전남장흥군,4680000000,2019,52,17.7
전라남도,전남강진군,4681000000,2019,52.2,24.4
전라남도,전남해남군,4682000000,2019,50.9,23.4
전라남도,전남영암군,4683000000,2019,48,30.9
전라남도,전남무안군,4684000000,2019,44.3,21
전라남도,전남함평군,4686000000,2019,53.6,22
전라남도,전남영광군,4687000000,2019,48.8,29.5
전라남도,전남장성군,4688000000,2019,49.4,25.1
전라남도,전남완도군,4689000000,2019,50.9,17.5
전라남도,전남진도군,4690000000,2019,51.7,26.6
전라남도,전남신안군,4691000000,2019,54,11.8
경상북도,경북포항남구,4711100000,2019,43.5,25.4
경상북도,경북포항북구,4711300000,2019,43.4,25.4
경상북도,경북경주시,4713000000,2019,46.5,25.3
경상북도,경북김천시,4715000000,2019,46.1,24.1
경상북도,경북안동시,4717000000,2019,47,25.3
경상북도,경북구미시,4719000000,2019,38.4,25.4
경상북도,경북영주시,4721000000,2019,48.5,21.8
경상북도,경북영천시,4723000000,2019,49.4,25.1
경상북도,경북상주시,4725000000,2019,50.7,14.1
경상북도,경북문경시,4728000000,2019,50.1,22.6
경상북도,경북경산시,4729000000,2019,42.8,24.7
경상북도,경북군위군,4772000000,2019,56.5,23.6
경상북도,경북의성군,4773000000,2019,56.5,24.9
경상북도,경북청송군,4775000000,2019,54.8,24.6
경상북도,경북영양군,4776000000,2019,54.4,27.6
경상북도,경북영덕군,4777000000,2019,54,19.1
경상북도,경북청도군,4782000000,2019,54.9,23.8
경상북도,경북고령군,4783000000,2019,51.5,24.9
경상북도,경북성주군,4784000000,2019,52.4,14
경상북도,경북칠곡군,4785000000,2019,42.2,26.5
경상북도,경북예천군,4790000000,2019,49.2,19.6
경상북도,경북봉화군,4792000000,2019,54.2,24.6
경상북도,경북울진군,4793000000,2019,49.3,24.6
경상북도,경북울릉군,4794000000,2019,50,18.1
경상남도,경남창원의창구,4812100000,2019,41.5,25.4
경상남도,경남창원성산구,4812300000,2019,39.3,25.4
경상남도,경남창원마산합포구,4812500000,2019,45.5,25.4
경상남도,경남창원마산회원구,4812700000,2019,43.6,25.4
